ThuHang,MaSinhVien,HoTen,Lop,Khoa,GPA,XepLoai
1,SV006,Vu Thi Phuong,Cong nghe thong tin 02,Cong nghe thong tin,9.11,Xuat sac
2,SV022,Tran Thi Chi,Cong nghe thong tin 02,Cong nghe thong tin,9.11,Xuat sac
3,SV023,Vu Van Chien,N/A,Cong nghe thong tin,8.70,Gioi
4,SV001,Nguyen Van An,Cong nghe thong tin 04,Cong nghe thong tin,8.63,Gioi
5,SV009,Dinh Van Khanh,Cong nghe thong tin 02,Cong nghe thong tin,8.54,Gioi
6,SV004,Pham Thi Dung,Cong nghe thong tin 01,Cong nghe thong tin,8.12,Gioi
7,SV002,Nguyen Van Binh,Cong nghe thong tin 04,Cong nghe thong tin,7.90,Kha
8,SV008,Bui Thi Huong,Cong nghe thong tin 02,Cong nghe thong tin,7.69,Kha
9,SV010,Ngo Thi Lan,Cong nghe thong tin 04,Cong nghe thong tin,7.05,Kha
10,SV005,Hoang Van Ê,Cong nghe thong tin 01,Cong nghe thong tin,7.00,Kha
11,SV003,Le Van Cuong,Cong nghe thong tin 01,Cong nghe thong tin,6.93,Kha
12,SV007,Dao Van Giang,Cong nghe thong tin 04,Cong nghe thong tin,5.93,Trung binh
13,SV021,Nguyen Van Binh,Cong nghe thong tin 01,Cong nghe thong tin,3.59,Yeu
14,SV0024,Nguyen Van Hao,Cong nghe thong tin 01,Cong nghe thong tin,0.00,Yeu
